dataset	branch_id	branch_site_analyses	informative_records	exact_records	discrepant_records
clade_a	b_2b41a42cc0bfff2665c9e2cece08c26492a3b82f05270f96924b300a66122c9a	3911	84	84	0
clade_a	b_d05b4d77876d37552e94b5224b5bb56db3ce179cfff26a427e0f1d1992238c90	3911	33	33	0
clade_a	b_cdf924511695d05bb6da1da7155a0f36cad448a30f1e11f79f6e318e60feafd3	3911	60	60	0
clade_a	b_aef508be3c947ef142fbe662d61963fd2d6c8ac15c691f28ec85670526ec42a8	3911	79	79	0
clade_b	b_d1ba3750e88beec884d93515ea9eeee50a81dc56502ef8b45281ea16cdc6a12a	12148	46	46	0
clade_b	b_12e34a97727d2bced6e44adfbc13266287a554938d326d61c0e6988400e95d36	12148	203	203	0
clade_b	b_594b833f6a361de2ebed55204840c0809dd40a5b39aeac4b51eb590c09eea511	12148	58	58	0
clade_b	b_e145ad95a184f5487ad58fe00b36f4b986e5c358ef4fee5e72554884932727ac	12148	1054	1054	0
