job_order	dataset_id	ntax	nchar	focal_descendants	alignment_bytes	mode	replicate	wall_seconds	user_seconds	system_seconds	peak_rss_kb	peak_rss_mib	cpu_percent	exit_status	reported_sites	results_bytes	report_sha256
28	t1000_s10000	1000	10000	250	10155048	both	1	14.82	14.87	0.35	216216	211.148	102%	0	4500	439328	0a1f545d214bfea3ccdde50b0ce14ce8d24a79b1c26e9a05eb1e5a26441cb566
29	t250_s50000	250	50000	62	13243047	both	2	16.02	16.13	0.28	243404	237.699	102%	0	22500	2192828	7ad7548d414bc2e992257a4fa5305dde1c0d4001305e96a9cb72bc50bf95a223
30	t500_s10000	500	10000	125	5147047	both	3	6.48	6.75	0.09	163884	160.043	105%	0	4500	439328	e333b0bef62e409581c397d52158bf6bcf1150c7ff27801c014bff21f2230f66
31	t500_s10000	500	10000	125	5147047	parsimony	2	6.59	6.89	0.11	163868	160.027	106%	0	4500	449328	144eb1c7707a7fc934e4ce47ac1aff2727c1465ea57c6616962e6bf953970d9a
32	t250_s5000	250	5000	62	1323045	both	2	2.18	2.48	0.08	123960	121.055	117%	0	2250	212825	738dfbb1fb2fc63a3295c3c73952ca10484189223c6d65e437b60909dc512b8f
33	t250_s1000	250	1000	62	267045	both	1	0.9	1.28	0.03	114644	111.957	145%	0	450	41625	a03c7355c067b4ce9e46a41ec1bb7c18337be18c503189a0e92eeb2db8c1e464
34	t50_s10000	50	10000	12	639846	both	1	1.33	1.65	0.06	119376	116.578	128%	0	4500	417828	43b4579bc22f2a1b5330351dc67ee99a49c5c1ece36ed5cdb55fff955f7dd2c7
35	t2000_s10000	2000	10000	500	20171048	both	2	29.5	29.36	0.47	307112	299.914	101%	0	4500	448328	6957c1b9a5fdbffd481e4d578e0303357f172c5b3736df5bc75cff6e5b978c20
36	t500_s10000	500	10000	125	5147047	parsimony	1	6.6	6.85	0.09	163828	159.988	105%	0	4500	449328	144eb1c7707a7fc934e4ce47ac1aff2727c1465ea57c6616962e6bf953970d9a
37	t250_s100000	250	100000	62	26493049	both	1	31.97	31.26	1.06	373012	364.27	101%	0	45000	4400331	74f436accab3d68ded2e3f6952e285932f3a811f4b2733fc57f93557f07e823e
38	t250_s100000	250	100000	62	26493049	both	3	31.94	31.46	0.76	376728	367.898	100%	0	45000	4400331	74f436accab3d68ded2e3f6952e285932f3a811f4b2733fc57f93557f07e823e
39	t1000_s10000	1000	10000	250	10155048	both	2	14.63	14.88	0.14	216068	211.004	102%	0	4500	439328	0a1f545d214bfea3ccdde50b0ce14ce8d24a79b1c26e9a05eb1e5a26441cb566
